genre
-
8-bit
orgcore
oriental metal
otacore
oth indie
ottawa indie
oulu metal
outlaw country
outsider
oxford indie
p funk
pagan black metal
pagode
panamanian pop
papuri
paracana
permanent wave
pernambuco alternative
perreo
persian pop
perth indie
philly indie
philly rap
philly soul
phonk
pianissimo
piano blues
piano cover
piano rock
piedmont blues
pinoy hip hop
pinoy indie
pinoy praise
pittsburgh rap
pittsburgh rock
pixie
polish black metal
polish classical
polish contemporary classical
polish death metal
polish metal
polka
polynesian pop
pop
pop edm
pop emo
pop folk
pop house
pop nacional
pop punk
pop quebecois
pop rap
pop reggaeton
pop rock
pop romantico
popgaze
popping
portland hip hop
portland indie
portland metal
post-disco
post-disco soul
post-doom metal
post-grunge
post-hardcore
post-metal
post-post-hardcore
post-punk
post-rock
post-romantic era
post-screamo
post-teen pop
power metal
power pop
power thrash
power-pop punk
praise
prank
preverb
prog quebec
progressive alternative
progressive bluegrass
progressive deathcore
progressive electro house
progressive house
progressive jazz fusion
progressive metal
progressive metalcore
progressive post-hardcore
progressive psytrance
progressive rock
progressive sludge
progressive trance
progressive trance house
progressive uplifting trance
protopunk
psychedelic blues-rock
psychedelic doom
psychedelic folk
psychedelic rock
psychedelic trance
psychobilly
pub rock
puerto rican rock
punk
punk blues
quebec indie
queercore
quiet storm
r&b
r&b brasileiro
radio symphony
ragtime
ranchera
rap
rap conciencia
rap conscient
rap cristiano
rap kreyol
rap latina
rap metal
rap rock
rare groove
reading
reading indie
recorder
red dirt
redneck
reggae
reggae en espanol
reggae fusion
reggae rock
reggaeton
reggaeton flow
regional mexican
regional mexican pop
relaxative
renaissance
retro electro
retro soul
reunion pop
rhode island indie
rhythm and blues
rhythm game
riddim
riot grrrl
rochester ny indie
rock
rock alternativo brasileiro
rock cristiano
rock en espanol
rock gaucho
rock gospel brasileiro
rock nacional brasileiro
rock steady
rock-and-roll
rockabilly
romanian pop
romantico
roots americana
roots reggae
roots rock
roots worship
rosario indie
rosary
rumba
russian ccm
russian contemporary classical
russian folk
russian punk
russian rock
sacramento indie
salsa
salsa choke
salsa international
salsa peruana
samba
san diego indie
san diego rap
san marcos tx indie
sandalwood
saskatchewan indie
scandinavian r&b
scandipop
schlager
sci-fi metal
scorecore
scottish americana
scottish electronic
scottish indie
scottish new wave
scottish rock
scottish singer-songwriter
screamo
screamo punk
screamocore
seattle indie
sertanejo
sertanejo pop
sertanejo tradicional
sertanejo universitario
shaabi
shamanic
sheffield indie
shibuya-kei
shimmer pop
shiver pop
shoegaze
show tunes
shred
singer-songwriter
sitar
ska
ska mexicano
ska punk
ska revival
skate punk
skinhead oi
skinhead reggae
slam poetry
slayer
slc indie
sleaze rock
sleep
slow core
slow game
sludge metal
small room
smooth jazz
smooth saxophone
smooth soul
soca
socal pop punk
soft rock
solipsynthm
song poem
soul
soul blues
soul flow
soul jazz
sound team
soundtrack
south african alternative
south african hip hop
south african jazz
south african pop
south african rock
south carolina indie
south dakota indie
southampton indie
southern gospel
southern hip hop
southern rock
southern soul
southern soul blues
space age pop
space rock
spacewave
spanish folk
spanish invasion
spanish new wave
spanish pop
spanish pop rock
speed metal
spiritual jazz
springfield mo indie
st petersburg fl indie
steampunk
steel guitar
steelpan
stl indie
stomp and flutter
stomp and holler
stomp and whittle
stomp pop
stoner metal
stoner rock
straight edge
street punk
stride
string band
strut
sufi
sunshine pop
surf music
swamp blues
swamp pop
swedish alternative rock
swedish americana
swedish black metal
swedish death metal
swedish doom metal
swedish electronic
swedish electropop
swedish hard rock
swedish hardcore
swedish indie pop
swedish indie rock
swedish metal
swedish pop
swedish post-hardcore
swedish prog
swedish rockabilly
swedish singer-songwriter
swedish soul
swedish synthpop
swedish tropical house
swing
swiss metal
swiss rock
symphonic black metal
symphonic death metal
symphonic metal
symphonic rock
synthpop
tagalog worship
tahitian
talent show
tampa indie
tech house
technical brutal death metal
technical death metal
technical deathcore
technical groove
technical thrash
teen pop
tejano
texas blues
texas country
texas pop punk
texas punk
theme
thrash core
thrash metal
tico
tin pan alley
tipico
tollywood
toronto indie
toronto rap
tracestep
traditional blues
traditional british folk
traditional country
traditional folk
traditional rockabilly
traditional ska
traditional soul
traditional swing
trance
trancecore
transpop
trap brasileiro
trap latino
trap music
trap queen
trap soul
traprun
trash rock
triangle indie
tribal house
tribute
trinidadian reggae
trip hop
trival
tropical
tropical house
tucson indie
tulsa indie
turntablism
twee pop
tzadik
uk alternative pop
uk americana
uk contemporary r&b
uk dance
uk doom metal
uk experimental electronic
uk funky
uk garage
uk hip hop
uk house
uk metalcore
uk pop
uk pop punk
uk post-hardcore
uk post-punk
uk reggae
uk worship
underground hip hop
underground power pop
underground rap
uplifting trance
uptempo hardcore
urban contemporary
usbm
vallenato
vancouver indie
vancouver metal
vancouver punk
vapor pop
vapor soul
vapor trap
vapor twitch
vaporwave
vaudeville
vegan straight edge
vegas indie
vermont indie
victoria bc indie
video game music
viking metal
vintage dutch pop
vintage french electronic
vintage hollywood
vintage italian soundtrack
vintage jazz
vintage swedish pop
violin
viral pop
viral trap
virgin islands reggae
virginia metal
virginia punk
visual kei
vocal harmony group
vocal house
vocal jazz
vocal trance
vogue
volksmusik
washington indie
welsh indie
welsh metal
welsh rock
west coast rap
west coast reggae
west coast trap
western mass indie
wisconsin indie
witch house
wonky
workout product
world
world fusion
world meditation
world worship
worship
wrestling
xhosa
yacht rock
ye ye
zapstep
zolo
zydeco
