Album of the Year#Album_of_the_Year
Album Of the Year - Classical#Album_of_the_Year,_Classical
Best Album Cover (Other Than Classical)#Best_Recording_Package
Best Album Cover- Classical#Best_Recording_Package
Best Classical Performance- Chamber Music#Best_Chamber_Music/Small_Ensemble_Performance
Best Classical Performance- Choral (Other Than Opera)#Best_Choral_Performance
Best Classical Performance- Instrumental Soloist (With Orchestra)#Best_Classical_Instrumental_Solo
Best Classical Performance- Instrumental Soloist Or Duo (Without Orchestra)#Best_Classical_Instrumental_Solo
Best Classical Performance- Vocal Soloist (With or Without Orchestra)#Best_Classical_Solo_Vocal_Album
Best Country & Western Recording#Best_Country_Solo_Performance
Best Documentary or Spoken Word Recording (Other Than Comedy)#Best_Spoken_Word_Album
Best Engineering Contribution - Novelty#Best_Engineered_Recording_–_Special_or_Novel_Effects
Best Folk Recording#Best_Folk_Album
Best Gospel Or Other Religious Recording#Best_Gospel_Album
Best Instrumental Theme Or Instrumental Version of Song#Best_Instrumental_Composition
Best Jazz Performance - Large Group (Instrumental)#Best_Large_Jazz_Ensemble_Album
Best Jazz Performance- Soloist or Small Group (Instrumental)#Best_Jazz_Instrumental_Album
Best New Artist Of 1961#Best_New_Artist
Best Opera Recording#Best_Opera_Recording
Best Original Cast Show Album#Best_Musical_Theater_Album
Best Original Jazz Composition#Best_Original_Jazz_Composition
Best Performance by a Chorus#Best_Performance_by_a_Chorus
Best Performance by a Vocal Group#Best_Performance_by_a_Vocal_Group
Best Performance by an Orchestra- For Dancing#Best_Performance_by_an_Orchestra_–_for_Dancing
Best Rhythm & Blues Recording#Best_R&B_Performance
Best Rock & Roll Recording#Best_Rock_Performance
"Best Solo Vocal Performance, Female"#Best_Female_Pop_Vocal_Performance
"Best Solo Vocal Performance, Male"#Best_Male_Pop_Vocal_Performance
Best Soundtrack Album or Recording of Original Cast from Motion Picture or Television#Best_Compilation_Soundtrack_for_Visual_Media
Best Soundtrack Album or Recording of Score from Motion Picture or Television#Best_Score_Soundtrack_Album_for_Visual_Media
Album of the Year (Other Than Classical)#Album_of_the_Year
Best Album Cover- Other Than Classical#Best_Recording_Package
Best Background Arrangement (Behind Vocalist Or Instrumentalist)#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
Best Classical Performance- Instrumental Soloist Or Soloists (With Orchestra)#Best_Classical_Instrumental_Solo
Best Contemporary Composition#Best_Contemporary_Classical_Composition
"Best Documentary, Spoken Word, or Drama Recording (Other Than Comedy)"#Best_Spoken_Word_Album
Best Engineered Recording - Classical#Best_Engineered_Album,_Classical
Best Engineering Contribution - Other than Novelty and Other Than Classical#Best_Engineered_Album,_Non-Classical
Best Instrumental Theme#Best_Instrumental_Composition
Best Jazz Performance- Large Group (Instrumental)#Best_Large_Jazz_Ensemble_Album
Best New Artist Of 1962#Best_New_Artist
Best Performance by an Orchestra or Instrumentalist with Orchestra- Primarily Not Jazz Or For Dancing#Best_Performance_by_an_Orchestra_or_Instrumentalist_with_Orchestra
Best Album Notes#Best_Album_Notes
Best Classical Composition By A Contemporary Composer#Best_Contemporary_Classical_Composition
Best Engineered Recording- Classical#Best_Engineered_Album,_Classical
Best Engineered Recording- Other than Classical#Best_Engineered_Album,_Non-Classical
Best Engineered Recording- Special or Novel Effects#Best_Engineered_Recording_–_Special_or_Novel_Effects
Best Gospel Or Other Religious Recording (Musical)#Best_Gospel_Album
Best Instrumental Jazz Performance- Large Group#Best_Large_Jazz_Ensemble_Album
Best Instrumental Jazz Performance- Soloist or Small Group#Best_Jazz_Instrumental_Album
Best New Artist Of 1963#Best_New_Artist
Best Original Score from a Motion Picture or Television Show#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Score From An Original Cast Show Album#Best_Score_from_an_Original_Cast_Show_Album
Classical Album Of the Year#Best_Classical_Album
Most Promising New Classical Recording Artist#Best_New_Classical_Artist
Album of the Year -- Classical#Album_of_the_Year,_Classical
Best Accompaniment Arrangement for Vocalist(s) or Instrumentalist(s)#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
Best Chamber Music Performance - Vocal#Best_Chamber_Music/Small_Ensemble_Performance
Best Chamber Performance - Instrumental#Best_Chamber_Music/Small_Ensemble_Performance
Best Choral Performance (other than opera)#Best_Choral_Performance
Best Composition by a Contemporary Composer#Best_Contemporary_Classical_Composition
Best Country & Western Album#Best_Country_Album
Best Country & Western Single#Best_Country_Solo_Performance
Best Country & Western Song#Best_Country_Song
Best Country & Western Vocal Performance - Female#Best_Female_Country_Vocal_Performance
Best Country & Western Vocal Performance - Male#Best_Male_Country_Vocal_Performance
"Best Documentary, Spoken Word or Drama Recording (other than comedy)"#Best_Spoken_Word_Album
Best Engineered Recording#Best_Engineered_Album,_Non-Classical
Best Engineered Recording - Non-Classical#Best_Engineered_Album,_Non-Classical
Best Engineered Recording - Special or Novel Effects#Best_Engineered_Recording_–_Special_or_Novel_Effects
Best Gospel or Other Religious Recording (Musical)#Best_Gospel_Album
Best Instrumental Composition (other than jazz)#Best_Instrumental_Composition
Best Instrumental Jazz Performance - Large Group or Soloist with Large Group#Best_Large_Jazz_Ensemble_Album
Best Instrumental Jazz Performance - Small Group or Soloist with Small Group#Best_Jazz_Instrumental_Album
Best Instrumental Performance - Non-Jazz#Best_Instrumental_Performance
Best Original Score Written for a Motion Picture or Television Show#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Performance - Instrumental Soloist or Soloists (with orchestra)#Best_Classical_Instrumental_Solo
Best Performance - Instrumental Soloist or Soloists (without orchestra)#Best_Classical_Instrumental_Solo
Best Performance - Orchestra#Best_Orchestral_Performance
Best Score From an Original Cast Show Album#Best_Score_from_an_Original_Cast_Show_Album
Best Vocal Soloist Performance (with or without orchestra)#Best_Classical_Solo_Vocal_Album
"Best Contemporary (R&R)  Vocal Performance, Male"#Best_Male_Rock_Vocal_Performance
Album of the Year - Classical#Album_of_the_Year,_Classical
Best Album Cover - Graphic Arts#Best_Recording_Package
Best Album Cover - Photography#Best_Recording_Package
Best Arrangement Accompanying a Vocalist or Instrumentalist#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
Best Classical Chamber Music Performance - Instrumental or Vocal#Best_Chamber_Music/Small_Ensemble_Performance
Best Classical Choral Performance (other than opera)#Best_Choral_Performance
Best Classical Performance - Instrumental Soloist or Soloists (with orchestra)#Best_Classical_Instrumental_Solo
Best Classical Performance - Instrumental Soloist or Soloists (without orchestra)#Best_Classical_Instrumental_Solo
Best Classical Vocal Soloist Performance#Best_Classical_Solo_Vocal_Album
Best Composition by a Contemporary Classical Composer#Best_Contemporary_Classical_Composition
Best Contemporary (R&R) Performance - Group (Vocal or Instrumental)#Best_Rock_Performance_by_a_Duo_or_Group_with_Vocal
Best Contemporary (R&R) Single#Best_Rock_Song
Best Contemporary (R&R) Vocal Performance - Female#Best_Female_Rock_Vocal_Performance
Best Contemporary (R&R) Vocal Performance - Male#Best_Male_Rock_Vocal_Performance
"Best Engineered Recording, Classical"#Best_Engineered_Album,_Classical
Best Instrumental Jazz Performance - Small Group or Soloist With Small Group#Best_Jazz_Instrumental_Album
"Best Instrumental Performance, Non-Jazz"#Best_Instrumental_Performance
Best Spoken Word or Drama Recording#Best_Spoken_Word_Album
"Best Album Cover, Photography"#Best_Recording_Package
Best Chamber Music Performance - Instrumental or Vocal#Best_Chamber_Music/Small_Ensemble_Performance
Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra)#Best_Classical_Instrumental_Solo
Best Classical Vocal Soloist Performance (with or without orchestra)#Best_Classical_Solo_Vocal_Album
"Best Contemporary (R&R) Group Performance, Vocal or Instrumental"#Best_Rock_Performance_by_a_Duo_or_Group_with_Vocal
Best Contemporary (R&R) Recording#Best_Rock_Song
Best Contemporary (R&R) Solo Vocal Performance - Male or Female#Best_Rock_Solo_Vocal_Performance
"Best Country & Western Vocal Performance, Male"#Best_Male_Country_Vocal_Performance
Best Instrumental Jazz Performance - Group or Soloist with Group#Best_Large_Jazz_Ensemble_Album
Best Instrumental Performance (Other Than Jazz)#Best_Instrumental_Performance
"Best Rhythm & Blues Group Performance, Vocal or Instrumental"#Best_R&B_Performance_by_a_Duo_or_Group_with_Vocals
"Best Rhythm & Blues Solo Vocal Performance, Male or Female"#Best_R&B_Solo_Vocal_Performance,_Male_or_Female
Best Sacred Performance#Best_Gospel_Performance/Song
Best Sacred Recording (Musical)#Best_Gospel_Album
"Best Spoken Word, Documentary or Drama Recording"#Best_Spoken_Word_Album
"Best Album Cover, Graphic Arts"#Best_Recording_Package
"Album of the Year, Classical"#Album_of_the_Year,_Classical
Best Arrangement Accompanying Vocalist(s) or Instrumentalist(s)#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
Best Chamber Music Performance#Best_Chamber_Music/Small_Ensemble_Performance
Best Comedy Recording#Best_Comedy_Album
Best Contemporary Album#Best_Contemporary_Classical_Composition
Best Contemporary Female Solo Vocal Performance#Best_Female_Pop_Vocal_Performance
Best Contemporary Group Performance (Vocal or Instrumental)#Best_Pop_Duo/Group_Performance
Best Contemporary Male Solo Vocal Performance#Best_Male_Pop_Vocal_Performance
Best Contemporary Single#Best_Pop_Solo_Performance
"Best Country & Western Performance Duet, Trio or Group (Vocal or Instrumental)"#Best_Country_Duo/Group_Performance
"Best Country & Western Solo Vocal Performance, Female"#Best_Female_Country_Vocal_Performance
"Best Country & Western Solo Vocal Performance, Male"#Best_Male_Country_Vocal_Performance
Best Folk Performance#Best_Folk_Album
Best Gospel Performance#Best_Gospel_Performance/Song
"Best Instrumental Jazz Performance, Large Group or Soloist with Large Group"#Best_Large_Jazz_Ensemble_Album
"Best Instrumental Jazz Performance, Small Group or Soloist With Small Group"#Best_Jazz_Instrumental_Album
Best Instrumental Performance#Best_Instrumental_Performance
Best Original Score Written for a Motion Picture or a Television Show#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
"Best Rhythm & Blues Solo Vocal Performance, Female"#Best_Female_R&B_Vocal_Performance
"Best Rhythm & Blues Solo Vocal Performance, Male"#Best_Male_R&B_Vocal_Performance
Best Arrangement Accompanying Vocalist(s)#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
Best Contemporary Pop Performance - Vocal Duo or Group#Best_Pop_Duo/Group_Performance
"Best Contemporary Pop Performance, Chorus"#Best_Contemporary_Performance_by_a_Chorus
"Best Contemporary Pop Performance, Instrumental"#Best_Pop_Instrumental_Performance
"Best Contemporary Pop Vocal Performance, Female"#Best_Female_Pop_Vocal_Performance
"Best Contemporary Pop Vocal Performance, Male"#Best_Male_Pop_Vocal_Performance
"Best Country Performance, Duo or Group - Vocal or Instrumental"#Best_Country_Duo/Group_Performance
Best Country Song#Best_Country_Song
"Best Country Vocal Performance, Female"#Best_Female_Country_Vocal_Performance
"Best Country Vocal Performance, Male"#Best_Male_Country_Vocal_Performance
"Best Engineered Recording, Non-Classical"#Best_Engineered_Album,_Non-Classical
Best New Artist of the Year#Best_New_Artist
Best Original Score Written for a Motion Picture#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Original Score Written for a Motion Picture or a Television Special#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Performance - Instrumental Soloist or Soloists (with or without orchestra)#Best_Classical_Instrumental_Solo
"Best Rhythm & Blues Performance by a Duo or Group, Vocal or Instrumental"#Best_R&B_Performance_by_a_Duo_or_Group_with_Vocals
Best Rhythm & Blues Song#Best_R&B_Song
"Best Rhythm & Blues Vocal Performance, Female"#Best_Female_R&B_Vocal_Performance
"Best Rhythm & Blues Vocal Performance, Male"#Best_Male_R&B_Vocal_Performance
Best Soul Gospel Performance#Best_Soul_Gospel_Performance
Best Spoken Word Recording#Best_Spoken_Word_Album
Best Vocal Soloist Performance#Best_Classical_Solo_Vocal_Album
Best Country Vocal Performance by a Duo or Group#Best_Country_Duo/Group_Performance
"Best Choral Performance, Classical"#Best_Choral_Performance
"Best Classical Performance, Instrumental Soloist or Soloists (with or without Orchestra)"#Best_Classical_Instrumental_Solo
"Best Classical Performance, Orchestra"#Best_Orchestral_Performance
Best Contemporary Instrumental Performance#Best_Contemporary_Instrumental_Album
Best Contemporary Performance by a Chorus#Best_Contemporary_Performance_by_a_Chorus
Best Contemporary Song#Best_Contemporary_Song
Best Contemporary Vocal Performance by a Group#Best_Pop_Duo/Group_Performance
"Best Contemporary Vocal Performance, Female"#Best_Female_Pop_Vocal_Performance
"Best Contemporary Vocal Performance, Male"#Best_Male_Pop_Vocal_Performance
Best Country Instrumental Performance#Best_Country_Instrumental_Performance
"Best Instrumental Jazz Performance, Small Group or Soloist with Small Group"#Best_Jazz_Instrumental_Album
Best R&B Instrumental Performance#Best_R&B_Instrumental_Performance
Best R&B Song#Best_R&B_Song
"Best R&B Vocal Performance, Female"#Best_Female_R&B_Vocal_Performance
"Best R&B Vocal Performance, Male"#Best_Male_R&B_Vocal_Performance
Best Score from an Original Cast Show Album#Best_Score_from_an_Original_Cast_Show_Album
"Best Vocal Soloist Performance, Classical"#Best_Classical_Solo_Vocal_Album
Best Choral Performance#Best_Choral_Performance
"Best Contemporary Vocal Performance by a Duo, Group or Chorus"#Best_Pop_Duo/Group_Performance
Best Ethnic or Traditional Recording (Including Traditional Blues)#Best_Ethnic_or_Traditional_Folk_Recording
"Best Jazz Performance, Large Group or Soloist with Large Group"#Best_Large_Jazz_Ensemble_Album
"Best Jazz Performance, Small Group or Soloist with Small Group"#Best_Jazz_Instrumental_Album
"Best R&B Performance by a Duo or Group, Vocal or Instrumental"#Best_R&B_Performance_by_a_Duo_or_Group_with_Vocals
Lifetime Achievement Award#Lifetime_Achievement_Award
"Best Classical Performance, Instrumental Soloist or Soloists (with Orchestra)"#Best_Classical_Instrumental_Solo
"Best Classical Performance, Instrumental Soloist or Soloists (without Orchestra)"#Best_Classical_Instrumental_Solo
Best Ethnic or Traditional Recording#Best_Ethnic_or_Traditional_Folk_Recording
Best Jazz Performance by a Big Band#Best_Large_Jazz_Ensemble_Album
Best Jazz Performance by a Group#Best_Jazz_Performance
Best Jazz Performance by a Soloist#Best_Jazz_Performance
Best Pop Instrumental Performance#Best_Pop_Instrumental_Performance
Best Pop Vocal Performance by a Duo or Group#Best_Pop_Duo/Group_Performance
"Best Pop Vocal Performance, Female"#Best_Female_Pop_Vocal_Performance
"Best Pop Vocal Performance, Male"#Best_Male_Pop_Vocal_Performance
Best R&B Vocal Performance by a Group#Best_R&B_Performance_by_a_Duo_or_Group_with_Vocals
"Best Album Notes, Classical"#Best_Album_Notes
Best Classical Album#Best_Classical_Album
Best Classical Performance Instrumental Soloist or Soloists (with Orchestra)#Best_Classical_Instrumental_Solo
Best Classical Performance Instrumental Soloist or Soloists (without Orchestra)#Best_Classical_Instrumental_Solo
Best Inspirational Performance#Best_Inspirational_Performance
"Best Pop Instrumental Performance by an Arranger, Composer, Orchestra and/or Choral Leader"#Best_Pop_Instrumental_Performance_by_an_Arranger,_Composer,_Orchestra_and/or_Choral_Leader
Best Pop Instrumental Performance by an Instrumental Performer#Best_Pop_Instrumental_Performance
"Best Pop Vocal Performance by a Duo, Group or Chorus"#Best_Pop_Duo/Group_Performance
"Best R&B Vocal Performance by a Duo, Group or Chorus"#Best_R&B_Performance_by_a_Duo_or_Group_with_Vocals
Album of Best Original Score Written for a Motion Picture or a Television Special#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Album Package#Best_Recording_Package
Best Score from the Original Cast Show Album#Best_Score_from_an_Original_Cast_Show_Album
Album of Best Original Score Written for a Motion Picture#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Album Notes - Classical#Best_Album_Notes
Best Arrangement Accompanying Vocalists#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
"Best Choral Performance, Classical (other than opera)"#Best_Choral_Performance
Best Classical Performance Instrumental Soloist or Soloists (with orchestra)#Best_Classical_Instrumental_Solo
Best Classical Performance Instrumental Soloist or Soloists (without orchestra)#Best_Classical_Instrumental_Solo
Best Gospel Performance (other than soul gospel)#Best_Gospel_Performance/Song
Best Inspirational Performance (non-classical)#Best_Inspirational_Performance
Best Producer of the Year#Producer_of_the_Year,_Non-Classical
Best Country Vocal Performance - Female#Best_Female_Country_Vocal_Performance
Album of Best Original Score Written for a Motion Picture or Television Special#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
BEST ARRANGEMENT ACCOMPANYING VOCALIST#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
Best Cast Show Album#Best_Musical_Theater_Album
Best Jazz Performance BY a Soloist#Best_Jazz_Performance
Best Latin Recording#Best_Latin_Recording
Best Country Vocal Performance - Male#Best_Male_Country_Vocal_Performance
Best Album of Original Score Written for a Motion Picture or Television Special#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
"Best Arrangement for Voices (duo, group or chorus)"#Best_Arrangement_for_Voices
Best Classical Orchestral Performance#Best_Orchestral_Performance
"Best Classical Performance, Instrumental Soloist or Soloists (with orchestra)"#Best_Classical_Instrumental_Solo
"Best Classical Performance, Instrumental Soloist or Soloists (without orchestra)"#Best_Classical_Instrumental_Solo
Best Jazz Performance by a Soloist (instrumental)#Best_Jazz_Performance
Best Jazz Vocal Performance#Best_Jazz_Vocal_Performance
Best Album of Original Score written for a Motion Picture or Television Special#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Arrangement for Voices#Best_Arrangement_for_Voices
"Best Gospel Performance, Contemporary or Inspirational"#Best_Gospel_Performance/Song
"Best Gospel Performance, Traditional"#Best_Soul_Gospel_Performance,_Traditional
Best Pop Instrumental Recording#Best_Pop_Instrumental_Performance
Best Pop Vocal Performance by a Group#Best_Pop_Duo/Group_Performance
Best R&B Vocal Performance - Female#Best_Female_R&B_Vocal_Performance
"Best Soul Gospel Performance, Contemporary"#Best_Soul_Gospel_Performance,_Contemporary
"Best Soul Gospel Performance, Traditional"#Best_Soul_Gospel_Performance,_Traditional
Producer of the Year#Producer_of_the_Year,_Non-Classical
Best Pop Vocal Performance - Female#Best_Female_Pop_Vocal_Performance
Best Album of Original Score Written for a Motion Picture or a Television Special#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
Best Arrangement Accompanying Vocal(s)#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
"Best Classical Performance, Instrumental Soloist(s) (with orchestra)"#Best_Classical_Instrumental_Solo
"Best Classical Performance, Instrumental Soloist(s) (without orchestra)"#Best_Classical_Instrumental_Solo
"Best Gospel Performance, Contemporary or Inspirational"#Best_Gospel_Performance/Song
Best Historical Repackage Album#Best_Historical_Album
"Best Jazz Instrumental Performance, Big Band"#Best_Large_Jazz_Ensemble_Album
"Best Jazz Instrumental Performance, Group"#Best_Jazz_Instrumental_Album
"Best Jazz Instrumental Performance, Soloist"#Best_Jazz_Instrumental_Solo
Best Rock Vocal Performance - Female#Best_Female_Rock_Vocal_Performance
Best Disco Recording#Best_Disco_Recording
Best Arrangement Accompanying Vocals#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
Best Classical Orchestral Recording#Best_Orchestral_Performance
Best Country Performance by a Duo or Group with Vocal#Best_Country_Duo/Group_Performance
Best Historical Reissue Album#Best_Historical_Album
"Best Jazz Fusion Performance, Vocal or Instrumental"#Best_Jazz_Fusion_Performance
Best Rock Instrumental Performance#Best_Rock_Instrumental_Performance
Best Rock Vocal Performance by a Duo or Group#Best_Rock_Performance_by_a_Duo_or_Group_with_Vocal
"Best Rock Vocal Performance, Female"#Best_Female_Rock_Vocal_Performance
"Best Rock Vocal Performance, Male"#Best_Male_Rock_Vocal_Performance
Classical Producer of the Year#Producer_of_the_Year,_Classical
Best Ethnic or Traditional Folk Recording#Best_Ethnic_or_Traditional_Folk_Recording
"Best Jazz Vocal Performance, Female"#Best_Jazz_Vocal_Performance,_Female
"Best Jazz Vocal Performance, Male"#Best_Jazz_Vocal_Performance,_Male
Best Pop Performance by a Duo or Group with Vocal#Best_Pop_Duo/Group_Performance
Best R&B Performance by a Duo or Group with Vocal#Best_R&B_Performance_by_a_Duo_or_Group_with_Vocals
Best Rock Performance by a Duo or Group with Vocal#Best_Rock_Performance_by_a_Duo_or_Group_with_Vocal
Producer of the Year (Non-Classical)#Producer_of_the_Year,_Non-Classical
Best Arrangement On An Instrumental Recording#Best_Arrangement,_Instrumental_or_A_Cappella
Best Historical Album#Best_Historical_Album
Best Instrumental Arrangement Accompanying Vocal(s)#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
"Best Jazz Vocal Performance, Duo or Group"#Best_Jazz_Vocal_Performance,_Duo_or_Group
Best Vocal Arrangement for Two or More Voices#Best_Vocal_Arrangement_for_Two_or_More_Voices
Video Of The Year#Best_Music_Video
"Best Classical Performance, Instrumental Soloist (with orchestra)"#Best_Classical_Instrumental_Solo
"Best Gospel Performance, Contemporary"#Best_Gospel_Performance/Song
Best Orchestral Performance#Best_Orchestral_Performance
Best Traditional Blues Recording#Best_Traditional_Blues_Album
Best Arrangement on an Instrumental#Best_Arrangement,_Instrumental_or_A_Cappella
Best Classical Performance – Instrumental Soloist or Soloists (with orchestra)#Best_Classical_Instrumental_Solo
Best Classical Performance – Instrumental Soloist or Soloists (without orchestra)#Best_Classical_Instrumental_Solo
Best Gospel Performance by a Duo or Group#Best_Soul_Gospel_Performance_by_a_Duo_or_Group
"Best Gospel Performance, Female"#Best_Gospel_Vocal_Performance,_Female
"Best Gospel Performance, Male"#Best_Gospel_Vocal_Performance,_Male
Best Latin Pop Performance#Best_Latin_Pop_Album
Best Mexican-American Performance#Best_Mexican/Mexican-American_Album
Best New Country Song#Best_American_Roots_Song
Best Orchestral Recording#Best_Orchestral_Performance
Best Soul Gospel Performance by a Duo or Group#Best_Soul_Gospel_Performance_by_a_Duo_or_Group
"Best Soul Gospel Performance, Female"#Best_Soul_Gospel_Performance,_Female
"Best Soul Gospel Performance, Male"#Best_Soul_Gospel_Performance,_Male
Best Spoken Word or Non-musical Recording#Best_Spoken_Word_Album
Best Tropical Latin Performance#Best_Tropical_Latin_Album
Best Video Album#Best_Music_Film
"Best Video, Short Form"#Best_Music_Video
"Producer of the Year, Non-Classical"#Producer_of_the_Year,_Non-Classical
"Best Music Video, Short Form"#Best_Music_Video
Best New Classical Composition#Best_Contemporary_Classical_Composition
Best Reggae Recording#Best_Reggae_Album
Classical Producer Of The Year#Producer_of_the_Year,_Classical
Best Album Of Original Score Written For A Motion Picture Or A Television Special#Best_Original_Score_Written_for_a_Motion_Picture_or_Television_Show
"Best Country Instrumental Performance (orchestra, group or soloist)"#Best_Country_Instrumental_Performance
"Best Gospel Performance by a Duo or Group, Choir or Chorus"#Best_Soul_Gospel_Performance_by_a_Duo_or_Group
Best Instrumental Arrangement Accompanying Vocals#Best_Arrangement_Accompanying_Vocalist(s)_or_Instrumentalist(s)
"Best Music Video, Long Form"#Best_Music_Film
